location,hits,keyword,geo,gprop
Narino,100,Atenidos,CO,web
Bogota,34,Atenidos,CO,web
Cauca Department,28,Atenidos,CO,web
Antioquia,27,Atenidos,CO,web
Valle del Cauca,27,Atenidos,CO,web
Cundinamarca,26,Atenidos,CO,web
Boyaca,25,Atenidos,CO,web
Santander Department,24,Atenidos,CO,web
Risaralda,23,Atenidos,CO,web
Quindio,23,Atenidos,CO,web
Caldas,23,Atenidos,CO,web
Cordoba,23,Atenidos,CO,web
Meta,22,Atenidos,CO,web
Huila,20,Atenidos,CO,web
North Santander,19,Atenidos,CO,web
Magdalena,19,Atenidos,CO,web
Atlantico,18,Atenidos,CO,web
Tolima,17,Atenidos,CO,web
Bolivar,17,Atenidos,CO,web
Vaupes,NA,Atenidos,CO,web
Guaviare,NA,Atenidos,CO,web
San Andrés and Providencia,NA,Atenidos,CO,web
Putumayo,NA,Atenidos,CO,web
Arauca,NA,Atenidos,CO,web
Casanare,NA,Atenidos,CO,web
La Guajira,NA,Atenidos,CO,web
Cesar,NA,Atenidos,CO,web
Caquetá,NA,Atenidos,CO,web
Sucre,NA,Atenidos,CO,web
Choco,NA,Atenidos,CO,web
Amazonas Department,NA,Atenidos,CO,web
Guainia,NA,Atenidos,CO,web
Vichada,NA,Atenidos,CO,web
